update=5150/20000 loss=1.6690 policy=0.7804 value=0.8886
update=5200/20000 loss=1.7710 policy=0.8064 value=0.9646
update=5250/20000 loss=1.7448 policy=0.8039 value=0.9408
update=5300/20000 loss=1.7757 policy=0.8292 value=0.9465
update=5350/20000 loss=1.7113 policy=0.8018 value=0.9096
update=5400/20000 loss=1.8566 policy=0.9017 value=0.9548
update=5450/20000 loss=1.6320 policy=0.7427 value=0.8893
update=5500/20000 loss=1.6785 policy=0.7494 value=0.9291
update=5550/20000 loss=1.6552 policy=0.7485 value=0.9067
update=5600/20000 loss=1.6313 policy=0.8019 value=0.8294
update=5650/20000 loss=1.7355 policy=0.8099 value=0.9255
update=5700/20000 loss=1.6175 policy=0.7521 value=0.8653
update=5750/20000 loss=1.7611 policy=0.8708 value=0.8903
update=5800/20000 loss=1.6638 policy=0.7951 value=0.8688
update=5850/20000 loss=1.6383 policy=0.7687 value=0.8696
update=5900/20000 loss=1.7303 policy=0.8565 value=0.8738
update=5950/20000 loss=1.5771 policy=0.7450 value=0.8320
update=6000/20000 loss=1.6617 policy=0.7821 value=0.8797
update=6050/20000 loss=1.6271 policy=0.7505 value=0.8766
update=6100/20000 loss=1.5931 policy=0.7445 value=0.8486
update=6150/20000 loss=1.6285 policy=0.7448 value=0.8837
update=6200/20000 loss=1.6479 policy=0.7740 value=0.8739
update=6250/20000 loss=1.7089 policy=0.8074 value=0.9014
update=6300/20000 loss=1.6605 policy=0.7540 value=0.9065
update=6350/20000 loss=1.7033 policy=0.8428 value=0.8605
update=6400/20000 loss=1.5827 policy=0.7327 value=0.8499
update=6450/20000 loss=1.5425 policy=0.6954 value=0.8471
update=6500/20000 loss=1.6670 policy=0.8008 value=0.8662
update=6550/20000 loss=1.6666 policy=0.7704 value=0.8961
update=6600/20000 loss=1.6531 policy=0.8069 value=0.8462
update=6650/20000 loss=1.6807 policy=0.7924 value=0.8883
update=6700/20000 loss=1.5943 policy=0.7608 value=0.8336
update=6750/20000 loss=1.4904 policy=0.6975 value=0.7929
update=6800/20000 loss=1.6947 policy=0.7676 value=0.9271
update=6850/20000 loss=1.6197 policy=0.7573 value=0.8623
update=6900/20000 loss=1.6455 policy=0.7861 value=0.8594
update=6950/20000 loss=1.6339 policy=0.7603 value=0.8736
update=7000/20000 loss=1.6979 policy=0.7914 value=0.9064
update=7050/20000 loss=1.6689 policy=0.7943 value=0.8746
update=7100/20000 loss=1.5882 policy=0.7636 value=0.8246
update=7150/20000 loss=1.6252 policy=0.7454 value=0.8799
update=7200/20000 loss=1.6639 policy=0.7818 value=0.8821
update=7250/20000 loss=1.6443 policy=0.7322 value=0.9121
update=7300/20000 loss=1.7391 policy=0.8498 value=0.8893
update=7350/20000 loss=1.6593 policy=0.7443 value=0.9150
update=7400/20000 loss=1.6264 policy=0.7342 value=0.8923
update=7450/20000 loss=1.6173 policy=0.7041 value=0.9132
update=7500/20000 loss=1.6478 policy=0.7630 value=0.8848
update=7550/20000 loss=1.6763 policy=0.7503 value=0.9260
update=7600/20000 loss=1.6169 policy=0.8187 value=0.7982
update=7650/20000 loss=1.6399 policy=0.7982 value=0.8417
update=7700/20000 loss=1.6479 policy=0.7525 value=0.8953
update=7750/20000 loss=1.6504 policy=0.7984 value=0.8519
update=7800/20000 loss=1.5892 policy=0.7254 value=0.8637
update=7850/20000 loss=1.6752 policy=0.7725 value=0.9027
update=7900/20000 loss=1.5393 policy=0.6668 value=0.8725
update=7950/20000 loss=1.6150 policy=0.7668 value=0.8482
update=8000/20000 loss=1.6090 policy=0.6972 value=0.9118
update=8050/20000 loss=1.5370 policy=0.6850 value=0.8521
update=8100/20000 loss=1.6015 policy=0.7728 value=0.8287
update=8150/20000 loss=1.5683 policy=0.6980 value=0.8703
update=8200/20000 loss=1.6563 policy=0.7277 value=0.9286
update=8250/20000 loss=1.5999 policy=0.7935 value=0.8064
update=8300/20000 loss=1.6291 policy=0.7446 value=0.8846
update=8350/20000 loss=1.6260 policy=0.7345 value=0.8915
update=8400/20000 loss=1.5976 policy=0.7274 value=0.8702
update=8450/20000 loss=1.5586 policy=0.6780 value=0.8806
update=8500/20000 loss=1.6437 policy=0.7393 value=0.9045
update=8550/20000 loss=1.5898 policy=0.7114 value=0.8784
update=8600/20000 loss=1.5941 policy=0.7530 value=0.8411
update=8650/20000 loss=1.6232 policy=0.7438 value=0.8794
update=8700/20000 loss=1.5494 policy=0.7438 value=0.8056
update=8750/20000 loss=1.5670 policy=0.7313 value=0.8357
update=8800/20000 loss=1.6954 policy=0.7869 value=0.9084
update=8850/20000 loss=1.5987 policy=0.7563 value=0.8424
update=8900/20000 loss=1.6750 policy=0.7705 value=0.9046
update=8950/20000 loss=1.5703 policy=0.7237 value=0.8467
update=9000/20000 loss=1.5957 policy=0.7065 value=0.8892
update=9050/20000 loss=1.5959 policy=0.7375 value=0.8583
update=9100/20000 loss=1.6519 policy=0.8092 value=0.8427
update=9150/20000 loss=1.6441 policy=0.7573 value=0.8868
update=9200/20000 loss=1.5499 policy=0.7225 value=0.8274
update=9250/20000 loss=1.6170 policy=0.7577 value=0.8593
update=9300/20000 loss=1.6583 policy=0.7307 value=0.9276
update=9350/20000 loss=1.6189 policy=0.7657 value=0.8532
update=9400/20000 loss=1.6420 policy=0.7521 value=0.8900
update=9450/20000 loss=1.4804 policy=0.6730 value=0.8074
update=9500/20000 loss=1.5944 policy=0.7331 value=0.8614
update=9550/20000 loss=1.6857 policy=0.8027 value=0.8830
update=9600/20000 loss=1.6043 policy=0.7568 value=0.8475
update=9650/20000 loss=1.6653 policy=0.7636 value=0.9017
update=9700/20000 loss=1.5818 policy=0.6932 value=0.8886
update=9750/20000 loss=1.6314 policy=0.7432 value=0.8882
update=9800/20000 loss=1.6286 policy=0.7631 value=0.8655
update=9850/20000 loss=1.5718 policy=0.7359 value=0.8359
update=9900/20000 loss=1.5823 policy=0.7350 value=0.8472
update=9950/20000 loss=1.5278 policy=0.7077 value=0.8201
update=10000/20000 loss=1.5814 policy=0.7213 value=0.8600
update=10050/20000 loss=1.5943 policy=0.7754 value=0.8189
update=10100/20000 loss=1.5716 policy=0.7111 value=0.8605
update=10150/20000 loss=1.5596 policy=0.7256 value=0.8340
update=10200/20000 loss=1.6349 policy=0.7925 value=0.8424
update=10250/20000 loss=1.7645 policy=0.7877 value=0.9767
update=10300/20000 loss=1.5382 policy=0.6852 value=0.8529
update=10350/20000 loss=1.6712 policy=0.8116 value=0.8597
update=10400/20000 loss=1.5892 policy=0.7310 value=0.8582
update=10450/20000 loss=1.6104 policy=0.7167 value=0.8938
update=10500/20000 loss=1.6266 policy=0.7419 value=0.8847
update=10550/20000 loss=1.6508 policy=0.7714 value=0.8795
update=10600/20000 loss=1.5189 policy=0.6459 value=0.8730
update=10650/20000 loss=1.5478 policy=0.7187 value=0.8291
update=10700/20000 loss=1.6643 policy=0.7795 value=0.8848
update=10750/20000 loss=1.6147 policy=0.7301 value=0.8846
update=10800/20000 loss=1.6663 policy=0.7896 value=0.8767
update=10850/20000 loss=1.6545 policy=0.7745 value=0.8800
update=10900/20000 loss=1.6434 policy=0.7592 value=0.8842
update=10950/20000 loss=1.6095 policy=0.7047 value=0.9048
update=11000/20000 loss=1.5228 policy=0.6758 value=0.8470
update=11050/20000 loss=1.5646 policy=0.7261 value=0.8386
update=11100/20000 loss=1.5878 policy=0.7307 value=0.8572
update=11150/20000 loss=1.6709 policy=0.7567 value=0.9143
update=11200/20000 loss=1.6279 policy=0.7806 value=0.8473
update=11250/20000 loss=1.6088 policy=0.7261 value=0.8828
update=11300/20000 loss=1.5391 policy=0.6833 value=0.8558
update=11350/20000 loss=1.5350 policy=0.7209 value=0.8141
update=11400/20000 loss=1.5431 policy=0.6747 value=0.8683
update=11450/20000 loss=1.5502 policy=0.7148 value=0.8354
update=11500/20000 loss=1.6371 policy=0.7502 value=0.8869
update=11550/20000 loss=1.5875 policy=0.7116 value=0.8760
update=11600/20000 loss=1.5402 policy=0.7093 value=0.8309
update=11650/20000 loss=1.5658 policy=0.7272 value=0.8386
update=11700/20000 loss=1.6979 policy=0.8155 value=0.8824
update=11750/20000 loss=1.6046 policy=0.7445 value=0.8601
update=11800/20000 loss=1.5334 policy=0.7035 value=0.8299
update=11850/20000 loss=1.6804 policy=0.7632 value=0.9172
update=11900/20000 loss=1.6341 policy=0.7134 value=0.9207
update=11950/20000 loss=1.5826 policy=0.7477 value=0.8349
update=12000/20000 loss=1.5515 policy=0.6917 value=0.8598
update=12050/20000 loss=1.5617 policy=0.7613 value=0.8004
update=12100/20000 loss=1.5135 policy=0.6612 value=0.8523
update=12150/20000 loss=1.5679 policy=0.7213 value=0.8467
update=12200/20000 loss=1.6801 policy=0.8286 value=0.8515
update=12250/20000 loss=1.6378 policy=0.7566 value=0.8812
update=12300/20000 loss=1.6239 policy=0.7491 value=0.8748
update=12350/20000 loss=1.5801 policy=0.7330 value=0.8471
update=12400/20000 loss=1.5040 policy=0.6968 value=0.8072
update=12450/20000 loss=1.5023 policy=0.7344 value=0.7678
update=12500/20000 loss=1.5496 policy=0.7027 value=0.8469
update=12550/20000 loss=1.4767 policy=0.6550 value=0.8217
update=12600/20000 loss=1.6758 policy=0.7836 value=0.8921
update=12650/20000 loss=1.5241 policy=0.7070 value=0.8171
update=12700/20000 loss=1.5994 policy=0.7236 value=0.8758
update=12750/20000 loss=1.6041 policy=0.7692 value=0.8349
update=12800/20000 loss=1.5304 policy=0.6871 value=0.8433
update=12850/20000 loss=1.5948 policy=0.7495 value=0.8453
update=12900/20000 loss=1.5605 policy=0.7199 value=0.8406
update=12950/20000 loss=1.6379 policy=0.7475 value=0.8905
update=13000/20000 loss=1.5759 policy=0.7247 value=0.8512
update=13050/20000 loss=1.5171 policy=0.6927 value=0.8244
update=13100/20000 loss=1.5781 policy=0.7075 value=0.8706
update=13150/20000 loss=1.5130 policy=0.6784 value=0.8346
update=13200/20000 loss=1.5574 policy=0.6864 value=0.8710
update=13250/20000 loss=1.6800 policy=0.7810 value=0.8990
update=13300/20000 loss=1.6235 policy=0.7294 value=0.8941
update=13350/20000 loss=1.5879 policy=0.6942 value=0.8937
update=13400/20000 loss=1.5014 policy=0.6894 value=0.8120
update=13450/20000 loss=1.6287 policy=0.7772 value=0.8515
update=13500/20000 loss=1.5291 policy=0.6729 value=0.8562
update=13550/20000 loss=1.5810 policy=0.7019 value=0.8791
update=13600/20000 loss=1.5344 policy=0.6847 value=0.8496
update=13650/20000 loss=1.5597 policy=0.7461 value=0.8136
update=13700/20000 loss=1.5984 policy=0.7412 value=0.8572
update=13750/20000 loss=1.6268 policy=0.7212 value=0.9056
update=13800/20000 loss=1.5212 policy=0.7225 value=0.7987
update=13850/20000 loss=1.5431 policy=0.7126 value=0.8305
update=13900/20000 loss=1.5991 policy=0.7275 value=0.8716
update=13950/20000 loss=1.5342 policy=0.6667 value=0.8675
update=14000/20000 loss=1.6132 policy=0.7067 value=0.9065
update=14050/20000 loss=1.5353 policy=0.7275 value=0.8078
update=14100/20000 loss=1.5360 policy=0.7007 value=0.8353
update=14150/20000 loss=1.5412 policy=0.6983 value=0.8429
update=14200/20000 loss=1.7031 policy=0.8040 value=0.8991
update=14250/20000 loss=1.5500 policy=0.7287 value=0.8213
update=14300/20000 loss=1.5678 policy=0.7219 value=0.8460
update=14350/20000 loss=1.4949 policy=0.6473 value=0.8476
update=14400/20000 loss=1.6163 policy=0.7580 value=0.8582
update=14450/20000 loss=1.5602 policy=0.7184 value=0.8419
update=14500/20000 loss=1.6299 policy=0.7528 value=0.8771
update=14550/20000 loss=1.5866 policy=0.7228 value=0.8637
update=14600/20000 loss=1.5215 policy=0.7069 value=0.8147
update=14650/20000 loss=1.6483 policy=0.7684 value=0.8799
update=14700/20000 loss=1.5349 policy=0.7073 value=0.8276
update=14750/20000 loss=1.6237 policy=0.7363 value=0.8875
update=14800/20000 loss=1.5646 policy=0.7335 value=0.8311
update=14850/20000 loss=1.5885 policy=0.7629 value=0.8256
update=14900/20000 loss=1.5472 policy=0.7516 value=0.7957
update=14950/20000 loss=1.6166 policy=0.7204 value=0.8962
update=15000/20000 loss=1.5584 policy=0.7066 value=0.8518
update=15050/20000 loss=1.5870 policy=0.7466 value=0.8405
update=15100/20000 loss=1.6164 policy=0.7685 value=0.8480
update=15150/20000 loss=1.6006 policy=0.7377 value=0.8629
update=15200/20000 loss=1.5783 policy=0.7557 value=0.8226
update=15250/20000 loss=1.5134 policy=0.6541 value=0.8593
update=15300/20000 loss=1.6470 policy=0.7583 value=0.8887
update=15350/20000 loss=1.5539 policy=0.7184 value=0.8354
update=15400/20000 loss=1.6364 policy=0.7291 value=0.9073
update=15450/20000 loss=1.5607 policy=0.7208 value=0.8399
update=15500/20000 loss=1.5941 policy=0.7178 value=0.8764
update=15550/20000 loss=1.6246 policy=0.7540 value=0.8706
update=15600/20000 loss=1.5804 policy=0.7270 value=0.8534
update=15650/20000 loss=1.5376 policy=0.7165 value=0.8211
update=15700/20000 loss=1.5953 policy=0.7531 value=0.8422
update=15750/20000 loss=1.5030 policy=0.7195 value=0.7834
update=15800/20000 loss=1.6407 policy=0.7179 value=0.9227
update=15850/20000 loss=1.5527 policy=0.7207 value=0.8320
update=15900/20000 loss=1.6131 policy=0.7636 value=0.8495
update=15950/20000 loss=1.6591 policy=0.7846 value=0.8745
update=16000/20000 loss=1.5652 policy=0.6966 value=0.8686
update=16050/20000 loss=1.6167 policy=0.7193 value=0.8975
update=16100/20000 loss=1.6253 policy=0.7195 value=0.9058
update=16150/20000 loss=1.5030 policy=0.6791 value=0.8239
update=16200/20000 loss=1.6658 policy=0.7565 value=0.9093
update=16250/20000 loss=1.5794 policy=0.7218 value=0.8576
update=16300/20000 loss=1.6473 policy=0.7568 value=0.8905
update=16350/20000 loss=1.6274 policy=0.7489 value=0.8785
update=16400/20000 loss=1.6152 policy=0.7457 value=0.8695
update=16450/20000 loss=1.5895 policy=0.7635 value=0.8260
update=16500/20000 loss=1.5716 policy=0.7445 value=0.8271
update=16550/20000 loss=1.6063 policy=0.7396 value=0.8667
update=16600/20000 loss=1.5883 policy=0.6957 value=0.8925
update=16650/20000 loss=1.5599 policy=0.7152 value=0.8447
update=16700/20000 loss=1.5946 policy=0.7542 value=0.8404
update=16750/20000 loss=1.5685 policy=0.7062 value=0.8623
update=16800/20000 loss=1.6162 policy=0.7347 value=0.8815
update=16850/20000 loss=1.5830 policy=0.7414 value=0.8416
update=16900/20000 loss=1.6081 policy=0.7301 value=0.8780
update=16950/20000 loss=1.5925 policy=0.7515 value=0.8410
update=17000/20000 loss=1.5741 policy=0.7580 value=0.8161
update=17050/20000 loss=1.5458 policy=0.7021 value=0.8438
update=17100/20000 loss=1.6207 policy=0.7428 value=0.8779
update=17150/20000 loss=1.5806 policy=0.7301 value=0.8505
update=17200/20000 loss=1.6761 policy=0.7682 value=0.9079
update=17250/20000 loss=1.5526 policy=0.7129 value=0.8396
update=17300/20000 loss=1.5453 policy=0.7200 value=0.8253
update=17350/20000 loss=1.4845 policy=0.6862 value=0.7984
update=17400/20000 loss=1.5437 policy=0.7195 value=0.8241
update=17450/20000 loss=1.4914 policy=0.6629 value=0.8286
update=17500/20000 loss=1.5874 policy=0.7275 value=0.8600
update=17550/20000 loss=1.5265 policy=0.7147 value=0.8118
update=17600/20000 loss=1.4811 policy=0.6659 value=0.8153
update=17650/20000 loss=1.7093 policy=0.8489 value=0.8604
update=17700/20000 loss=1.5691 policy=0.7177 value=0.8515
update=17750/20000 loss=1.5440 policy=0.6933 value=0.8507
update=17800/20000 loss=1.6353 policy=0.7722 value=0.8631
update=17850/20000 loss=1.4816 policy=0.6533 value=0.8282
update=17900/20000 loss=1.5777 policy=0.7154 value=0.8623
update=17950/20000 loss=1.6373 policy=0.7575 value=0.8798
update=18000/20000 loss=1.5619 policy=0.7207 value=0.8412
update=18050/20000 loss=1.5690 policy=0.6920 value=0.8770
update=18100/20000 loss=1.5732 policy=0.7223 value=0.8508
update=18150/20000 loss=1.6305 policy=0.7531 value=0.8774
update=18200/20000 loss=1.5267 policy=0.7483 value=0.7784
update=18250/20000 loss=1.4637 policy=0.6835 value=0.7802
update=18300/20000 loss=1.6191 policy=0.7135 value=0.9056
update=18350/20000 loss=1.5656 policy=0.6965 value=0.8691
update=18400/20000 loss=1.5614 policy=0.7025 value=0.8589
update=18450/20000 loss=1.5492 policy=0.7385 value=0.8107
update=18500/20000 loss=1.5445 policy=0.6830 value=0.8615
update=18550/20000 loss=1.5437 policy=0.7036 value=0.8401
update=18600/20000 loss=1.6919 policy=0.7514 value=0.9406
update=18650/20000 loss=1.5336 policy=0.6878 value=0.8459
update=18700/20000 loss=1.5523 policy=0.7325 value=0.8198
update=18750/20000 loss=1.4657 policy=0.6512 value=0.8145
update=18800/20000 loss=1.6285 policy=0.7245 value=0.9040
update=18850/20000 loss=1.5705 policy=0.7244 value=0.8460
update=18900/20000 loss=1.5469 policy=0.6893 value=0.8576
update=18950/20000 loss=1.6861 policy=0.7875 value=0.8986
update=19000/20000 loss=1.5606 policy=0.7393 value=0.8213
update=19050/20000 loss=1.6578 policy=0.7642 value=0.8936
update=19100/20000 loss=1.4947 policy=0.6767 value=0.8179
update=19150/20000 loss=1.5223 policy=0.6760 value=0.8462
update=19200/20000 loss=1.5818 policy=0.6966 value=0.8852
update=19250/20000 loss=1.5542 policy=0.6977 value=0.8565
update=19300/20000 loss=1.6507 policy=0.7625 value=0.8882
update=19350/20000 loss=1.5716 policy=0.7308 value=0.8408
update=19400/20000 loss=1.5020 policy=0.6892 value=0.8128
update=19450/20000 loss=1.6114 policy=0.7270 value=0.8844
update=19500/20000 loss=1.4297 policy=0.6094 value=0.8203
update=19550/20000 loss=1.6052 policy=0.7490 value=0.8562
update=19600/20000 loss=1.6325 policy=0.7496 value=0.8830
update=19650/20000 loss=1.5611 policy=0.6925 value=0.8686
update=19700/20000 loss=1.5635 policy=0.7013 value=0.8622
update=19750/20000 loss=1.5566 policy=0.6917 value=0.8650
update=19800/20000 loss=1.5908 policy=0.7502 value=0.8406
update=19850/20000 loss=1.5498 policy=0.6725 value=0.8772
update=19900/20000 loss=1.6707 policy=0.7597 value=0.9110
update=19950/20000 loss=1.6054 policy=0.7340 value=0.8714
update=19999/20000 loss=1.5565 policy=0.7357 value=0.8207
{
  "checkpoint": "monopoly_bench/runs/oracle_hybrid_bc_new25k/snapshots/hybrid_clone_0000.pt",
  "device": "cpu",
  "final": {
    "gradient_norm": 0.10066509246826172,
    "loss": 1.5564662218093872,
    "policy_loss": 0.7357398271560669,
    "value_loss": 0.8207263946533203
  },
  "history_tail": [
    {
      "gradient_norm": 0.10198421031236649,
      "loss": 1.605179786682129,
      "policy_loss": 0.748950719833374,
      "update": 19550,
      "value_loss": 0.8562290668487549,
      "wall_s": 563.1610460281372,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.1007293239235878,
      "loss": 1.6325438022613525,
      "policy_loss": 0.749592661857605,
      "update": 19600,
      "value_loss": 0.8829511404037476,
      "wall_s": 565.1187660694122,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.14231549203395844,
      "loss": 1.5611094236373901,
      "policy_loss": 0.6924622058868408,
      "update": 19650,
      "value_loss": 0.8686472177505493,
      "wall_s": 566.7687568664551,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.07328219711780548,
      "loss": 1.5635071992874146,
      "policy_loss": 0.701306939125061,
      "update": 19700,
      "value_loss": 0.8622002601623535,
      "wall_s": 569.1406111717224,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.12394234538078308,
      "loss": 1.5566197633743286,
      "policy_loss": 0.6916638612747192,
      "update": 19750,
      "value_loss": 0.8649559020996094,
      "wall_s": 570.7063119411469,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.08069265633821487,
      "loss": 1.590773582458496,
      "policy_loss": 0.7501578330993652,
      "update": 19800,
      "value_loss": 0.8406158089637756,
      "wall_s": 572.3976991176605,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.09414221346378326,
      "loss": 1.5497571229934692,
      "policy_loss": 0.6725373268127441,
      "update": 19850,
      "value_loss": 0.8772197961807251,
      "wall_s": 573.6737971305847,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.08455008268356323,
      "loss": 1.6707260608673096,
      "policy_loss": 0.759688138961792,
      "update": 19900,
      "value_loss": 0.9110378623008728,
      "wall_s": 574.9172101020813,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.09314227104187012,
      "loss": 1.6054104566574097,
      "policy_loss": 0.7340108156204224,
      "update": 19950,
      "value_loss": 0.8713996410369873,
      "wall_s": 576.2668840885162,
      "weighted_sample": true
    },
    {
      "gradient_norm": 0.10066509246826172,
      "loss": 1.5564662218093872,
      "policy_loss": 0.7357398271560669,
      "update": 19999,
      "value_loss": 0.8207263946533203,
      "wall_s": 577.7457001209259,
      "weighted_sample": true
    }
  ],
  "n_labels": 23749,
  "policy_match": {
    "match_rate": 0.997314453125,
    "rows": 4096.0
  },
  "updates": 20000,
  "wall_seconds": 577.7694268226624,
  "weighted_sample": true
}
